fecha,NDVI,LST_Day_C,LST_Night_C,Precipitacion_mm_16dias,Humedad_suelo_m3m3,Evapotranspiracion_m,Radiacion_solar_Jm2,Dias_helada,dato_original
2014-07-01,,,,,,,,0,False
2014-07-04,,,,,,,,0,False
2014-07-07,,,,,,,,0,False
2014-07-10,,,,,,,,0,False
2014-07-13,,,,,,,,0,False
2014-07-16,,,,,,,,0,False
2014-07-19,,,,,,,,0,False
2014-07-22,,,,,,,,0,False
2014-07-25,,,,,,,,0,False
2014-07-28,0.177,51.4,,0.53,0.1119,-3e-06,6881688.84,0,True
2014-07-31,0.1764,50.48,,0.87,0.1118,-3e-06,6783032.53,0,False
2014-08-03,0.1757,49.56,,1.21,0.1118,-3e-06,6684376.23,0,False
2014-08-06,0.1751,48.64,,1.56,0.1117,-3e-06,6585719.92,0,False
2014-08-09,0.1744,47.72,,1.9,0.1116,-3e-06,6487063.62,0,False
2014-08-12,0.1738,46.8,,2.24,0.1116,-3e-06,6388407.31,0,False
2014-08-15,0.1731,45.88,,2.58,0.1115,-3e-06,6289751.0,0,False
2014-08-18,0.1725,44.96,,2.93,0.1115,-3e-06,6191094.7,0,False
2014-08-21,0.1718,44.04,,3.27,0.1114,-2e-06,6092438.39,0,False
2014-08-24,0.1712,43.13,,3.61,0.1113,-2e-06,5993782.08,0,False
2014-08-27,0.1706,42.21,,3.96,0.1113,-2e-06,5895125.78,0,False
2014-08-30,0.1699,41.29,,4.3,0.1112,-2e-06,5796469.47,0,False
2014-09-02,0.1693,40.37,,4.64,0.1112,-2e-06,5697813.16,0,False
2014-09-05,0.1686,39.45,,4.98,0.1111,-2e-06,5599156.86,0,False
2014-09-08,0.168,38.53,,5.32,0.111,-2e-06,5500500.55,0,False
2014-09-11,0.1673,37.61,,5.67,0.111,-2e-06,5401844.25,0,False
2014-09-14,0.1667,36.69,24.32,6.01,0.1109,-2e-06,5303187.94,0,True
2014-09-17,0.1681,36.23,23.67,7.93,0.1207,-2e-06,5098013.66,0,False
2014-09-20,0.1696,35.78,23.02,9.86,0.1304,-2e-06,4892839.37,0,False
2014-09-23,0.171,35.32,22.38,11.78,0.1402,-2e-06,4687665.09,0,False
2014-09-26,0.1724,34.86,21.73,13.7,0.15,-2e-06,4482490.81,0,False
2014-09-29,0.1739,34.4,21.08,15.62,0.1597,-2e-06,4277316.52,0,False
2014-10-02,0.1753,33.94,20.43,17.55,0.1695,-2e-06,4072142.24,0,False
2014-10-05,0.1768,33.49,19.78,19.47,0.1792,-2e-06,3866967.95,0,False
2014-10-08,0.1782,33.03,19.13,21.39,0.189,-2e-06,3661793.67,0,False
2014-10-11,0.1796,32.57,18.49,23.31,0.1988,-2e-06,3456619.39,0,False
2014-10-14,0.1811,32.12,17.84,25.24,0.2085,-2e-06,3251445.1,0,False
2014-10-17,0.1825,31.66,17.19,27.16,0.2183,-2e-06,3046270.82,0,False
2014-10-20,0.184,31.2,16.54,29.08,0.228,-2e-06,2841096.54,0,False
2014-10-23,0.1854,30.74,15.89,31.0,0.2378,-2e-06,2635922.25,0,False
2014-10-26,0.1868,30.28,15.25,32.93,0.2476,-2e-06,2430747.97,0,False
2014-10-29,0.1883,29.83,14.6,34.85,0.2573,-2e-06,2225573.68,0,False
2014-11-01,0.1897,29.37,13.95,36.77,0.2671,-2e-06,2020399.4,0,True
2014-11-04,0.1903,28.49,13.8,37.99,0.2735,-2e-06,1989590.86,0,False
2014-11-07,0.1909,27.61,13.65,39.22,0.2798,-2e-06,1958782.32,0,False
2014-11-10,0.1915,26.74,13.5,40.44,0.2862,-2e-06,1927973.78,0,False
2014-11-13,0.1922,25.86,13.35,41.67,0.2925,-2e-06,1897165.24,0,False
2014-11-16,0.1928,24.98,13.2,42.89,0.2988,-2e-06,1866356.7,0,False
2014-11-19,0.1934,24.1,13.04,44.11,0.3052,-2e-06,1835548.16,0,False
2014-11-22,0.194,23.22,12.89,45.34,0.3116,-2e-06,1804739.62,0,False
2014-11-25,0.1946,22.34,12.74,46.56,0.3179,-2e-06,1773931.08,0,False
2014-11-28,0.1952,21.47,12.59,47.78,0.3243,-1e-06,1743122.53,0,False
2014-12-01,0.1958,20.59,12.44,49.01,0.3306,-1e-06,1712313.99,0,False
2014-12-04,0.1964,19.71,12.29,50.23,0.337,-1e-06,1681505.45,0,False
2014-12-07,0.197,18.83,12.14,51.46,0.3433,-1e-06,1650696.91,0,False
2014-12-10,0.1977,17.95,11.99,52.68,0.3496,-1e-06,1619888.37,0,False
2014-12-13,0.1983,17.08,11.84,53.9,0.356,-1e-06,1589079.83,0,False
2014-12-16,0.1989,16.2,11.69,55.13,0.3624,-1e-06,1558271.29,0,False
2014-12-19,0.1995,15.32,11.53,56.35,0.3687,-1e-06,1527462.75,0,True
2014-12-22,0.1967,15.84,11.38,54.96,0.3565,-1e-06,1616459.94,0,False
2014-12-25,0.1939,16.35,11.23,53.58,0.3443,-1e-06,1705457.12,0,False
2014-12-28,0.1911,16.87,11.08,52.19,0.3322,-1e-06,1794454.31,0,False
2014-12-31,0.1882,17.39,10.93,50.81,0.32,-1e-06,1883451.5,0,False
2015-01-03,0.1854,17.91,10.78,49.42,0.3078,-1e-06,1972448.69,0,False
2015-01-06,0.1826,18.42,10.63,48.03,0.2956,-1e-06,2061445.87,0,False
2015-01-09,0.1798,18.94,10.48,46.65,0.2834,-1e-06,2150443.06,0,False
2015-01-12,0.177,19.46,10.33,45.26,0.2713,-0.0,2239440.25,0,False
2015-01-15,0.1742,19.97,10.18,43.88,0.2591,-0.0,2328437.44,0,False
2015-01-18,0.1714,20.49,10.02,42.49,0.2469,-0.0,2417434.62,0,False
2015-01-21,0.1686,21.01,9.87,41.1,0.2347,-0.0,2506431.81,0,False
2015-01-24,0.1657,21.53,9.72,39.72,0.2225,-0.0,2595429.0,0,False
2015-01-27,0.1629,22.04,9.57,38.33,0.2104,-0.0,2684426.19,0,False
2015-01-30,0.1601,22.56,9.42,36.95,0.1982,-0.0,2773423.37,0,False
2015-02-02,0.1573,23.08,9.27,35.56,0.186,-0.0,2862420.56,0,True
2015-02-05,0.1596,23.59,9.31,33.66,0.1815,-0.0,2985063.68,0,False
2015-02-08,0.1619,24.11,9.36,31.76,0.177,-0.0,3107706.8,0,False
2015-02-11,0.1642,24.63,9.4,29.86,0.1725,-0.0,3230349.92,0,False
2015-02-14,0.1666,25.15,9.44,27.97,0.168,-0.0,3352993.04,0,False
2015-02-17,0.1689,25.66,9.49,26.07,0.1636,-0.0,3475636.17,0,False
2015-02-20,0.1712,26.18,9.53,24.17,0.1591,-0.0,3598279.29,0,False
2015-02-23,0.1735,26.7,9.57,22.27,0.1546,-0.0,3720922.41,0,False
2015-02-26,0.1758,27.21,9.62,20.37,0.1501,-0.0,3843565.53,0,False
2015-03-01,0.1781,27.73,9.66,18.47,0.1456,-1e-06,3966208.65,0,False
2015-03-04,0.1804,28.25,9.7,16.57,0.1411,-1e-06,4088851.77,0,False
2015-03-07,0.1827,28.77,9.75,14.67,0.1366,-1e-06,4211494.89,0,False
2015-03-10,0.185,29.28,9.79,12.77,0.1322,-1e-06,4334138.02,0,False
2015-03-13,0.1874,29.8,9.83,10.88,0.1277,-1e-06,4456781.14,0,False
2015-03-16,0.1897,30.32,9.88,8.98,0.1232,-1e-06,4579424.26,0,False
2015-03-19,0.192,30.83,9.92,7.08,0.1187,-1e-06,4702067.38,0,False
2015-03-22,0.1943,31.35,9.96,5.18,0.1142,-1e-06,4824710.5,0,True
2015-03-25,0.1944,31.87,10.01,5.37,0.1154,-1e-06,4912883.6,0,False
2015-03-28,0.1944,32.39,10.05,5.56,0.1167,-1e-06,5001056.7,0,False
2015-03-31,0.1945,32.9,10.1,5.74,0.1179,-1e-06,5089229.8,0,False
2015-04-03,0.1946,33.42,10.14,5.93,0.1191,-2e-06,5177402.9,0,False
2015-04-06,0.1946,33.94,10.18,6.12,0.1204,-2e-06,5265576.0,0,False
2015-04-09,0.1947,34.45,10.23,6.3,0.1216,-2e-06,5353749.1,0,False
2015-04-12,0.1948,34.97,10.27,6.49,0.1228,-2e-06,5441922.2,0,False
2015-04-15,0.1948,35.49,10.31,6.68,0.124,-2e-06,5530095.3,0,False
2015-04-18,0.1949,36.01,10.36,6.87,0.1253,-2e-06,5618268.4,0,False
2015-04-21,0.195,36.52,10.4,7.06,0.1265,-2e-06,5706441.5,0,False
2015-04-24,0.1951,37.04,10.44,7.24,0.1277,-2e-06,5794614.6,0,False
2015-04-27,0.1951,37.56,10.49,7.43,0.129,-2e-06,5882787.7,0,False
2015-04-30,0.1952,38.07,10.53,7.62,0.1302,-3e-06,5970960.8,0,False
2015-05-03,0.1953,38.59,10.57,7.8,0.1314,-3e-06,6059133.9,0,False
2015-05-06,0.1953,39.11,10.62,7.99,0.1327,-3e-06,6147307.0,0,False
2015-05-09,0.1954,39.63,10.66,8.18,0.1339,-3e-06,6235480.1,0,True
2015-05-12,0.1955,40.14,11.74,7.77,0.1325,-3e-06,6384515.84,0,False
2015-05-15,0.1955,40.66,12.81,7.36,0.1312,-3e-06,6533551.58,0,False
2015-05-18,0.1956,41.18,13.88,6.95,0.1298,-3e-06,6682587.31,0,False
2015-05-21,0.1956,41.69,14.96,6.54,0.1284,-3e-06,6831623.05,0,False
2015-05-24,0.1957,42.21,16.04,6.14,0.1271,-3e-06,6980658.79,0,False
2015-05-27,0.1957,42.73,17.11,5.73,0.1257,-3e-06,7129694.53,0,False
2015-05-30,0.1958,43.25,18.18,5.32,0.1244,-3e-06,7278730.27,0,False
2015-06-02,0.1958,43.76,19.26,4.91,0.123,-2e-06,7427766.0,0,False
2015-06-05,0.1959,44.28,20.34,4.5,0.1216,-2e-06,7576801.74,0,False
2015-06-08,0.196,44.8,21.41,4.09,0.1203,-2e-06,7725837.48,0,False
2015-06-11,0.196,45.31,22.48,3.68,0.1189,-2e-06,7874873.22,0,False
2015-06-14,0.1961,45.83,23.56,3.27,0.1176,-2e-06,8023908.96,0,False
2015-06-17,0.1961,46.35,24.64,2.87,0.1162,-2e-06,8172944.7,0,False
2015-06-20,0.1962,46.87,25.71,2.46,0.1148,-2e-06,8321980.43,0,False
2015-06-23,0.1962,47.38,26.78,2.05,0.1135,-2e-06,8471016.17,0,False
