fecha,NDVI,LST_Day_C,LST_Night_C,Precipitacion_mm_16dias,Humedad_suelo_m3m3,Evapotranspiracion_m,Radiacion_solar_Jm2,Dias_helada
2014-07-12,0.1822,47.76,23.84,0.0,0.1113,-4e-06,8596099.69,0
2014-07-28,0.177,51.4,,0.53,0.1119,-3e-06,6881688.84,0
2014-08-13,0.1793,40.88,,0.0,0.1118,-5e-06,7459724.57,0
2014-08-29,0.1655,49.34,24.22,0.0,0.1107,-3e-06,6786362.79,0
2014-09-14,0.1667,36.69,24.32,6.01,0.1109,-2e-06,5303187.94,0
2014-09-30,0.188,36.75,16.84,1.59,0.1154,-3e-06,4705999.89,0
2014-10-16,0.1823,28.53,,4.65,0.1124,-2e-06,3605793.72,0
2014-11-01,0.1897,29.37,13.95,36.77,0.2671,-2e-06,2020399.4,0
2014-11-17,0.1755,,10.19,0.0,0.1796,-2e-06,2594655.86,0
2014-12-03,0.1637,,,55.87,0.3363,-0.0,1028039.86,0
2014-12-19,0.1995,15.32,,56.35,0.3687,-1e-06,1527462.75,0
2015-01-01,0.1824,,0.17,2.11,0.289,-2e-06,2245781.95,0
2015-01-17,0.0991,,,2.11,0.2134,-0.0,2289654.89,0
2015-02-02,0.1573,,9.27,35.56,0.186,-0.0,2862420.56,0
2015-02-18,0.1555,24.52,13.08,4.0,0.2071,-0.0,3387980.8,0
2015-03-06,0.1781,26.0,9.72,18.88,0.1935,-1e-06,4772169.49,0
2015-03-22,0.1943,,,5.18,0.1142,-1e-06,4824710.5,0
2015-04-07,0.1904,28.69,,0.0,0.1569,-3e-06,3856877.64,0
2015-04-23,0.213,,14.37,32.14,0.1149,-2e-06,5907008.59,0
2015-05-09,0.1954,,10.66,8.18,0.1339,-3e-06,6235480.1,0
2015-05-25,0.2028,37.41,17.64,5.35,0.1366,-2e-06,7876192.97,0
2015-06-10,0.1899,,29.34,0.97,0.1134,-2e-06,6016358.73,0
2015-06-26,0.1963,47.9,27.86,1.64,0.1121,-2e-06,8620051.91,0
