fecha,NDVI,LST_Day_C,LST_Night_C,Precipitacion_mm_16dias,Humedad_suelo_m3m3,Evapotranspiracion_m,Radiacion_solar_Jm2,Dias_helada
2016-07-11,0.1327,,20.41,0.0,0.2042,0.0,6129110.83,0
2016-07-27,0.125,,,0.0,0.2043,0.0,6268831.88,0
2016-08-12,0.1411,,21.27,0.0,0.2049,0.0,6666330.33,0
2016-08-28,0.1381,,20.96,0.0,0.2043,0.0,4660485.25,0
2016-09-13,0.1276,,20.07,0.38,0.2041,0.0,7442858.17,0
2016-09-29,0.1238,,,0.0,0.2048,0.0,7150835.49,0
2016-10-15,0.1176,,,0.0,0.2046,0.0,7591278.5,0
2016-10-31,0.1267,36.32,18.34,0.0,0.2041,0.0,8420725.79,0
2016-11-16,0.1348,,,0.0,0.2041,0.0,8011938.38,0
2016-12-02,0.135,,,0.0,0.2044,0.0,7249452.29,0
2016-12-18,0.1381,,,0.0,0.3545,0.0,7346205.21,0
2017-01-01,0.1366,,,0.0,0.235,0.0,6775287.92,0
2017-01-17,0.1437,,,0.62,0.2532,0.0,7262390.5,0
2017-02-02,0.1636,,,45.02,0.4791,0.0,2906461.08,0
2017-02-18,0.2121,,,44.64,0.4551,0.0,6674988.29,0
2017-03-06,0.1621,,,27.23,0.4841,0.0,3476628.72,0
2017-03-22,0.1761,,,0.0,0.4851,0.0,3986131.17,0
2017-04-07,0.1579,,,0.0,0.4145,0.0,6460405.71,0
2017-04-23,0.1676,33.83,24.19,0.0,0.3738,0.0,6538934.04,0
2017-05-09,0.1708,,,3.76,0.3212,0.0,6347393.46,0
2017-05-25,0.1567,,,0.0,0.2499,0.0,5153378.0,0
2017-06-10,0.1283,,,0.06,0.2121,0.0,5859344.67,0
2017-06-26,0.141,,,0.0,0.2063,0.0,4920458.08,0
