fecha,NDVI,LST_Day_C,LST_Night_C,Precipitacion_mm_16dias,Humedad_suelo_m3m3,Evapotranspiracion_m,Radiacion_solar_Jm2,Dias_helada,dato_original
2019-12-01,,,,,,,,0,False
2019-12-04,,,,,,,,0,False
2019-12-07,,,,,,,,0,False
2019-12-10,,,,,,,,0,False
2019-12-13,,,,,,,,0,False
2019-12-16,,,,,,,,0,False
2019-12-19,0.2009,,,33.76,0.3391,-0.0,8593373.5,0,True
2019-12-22,0.2016,,,31.51,0.3394,0.0,8772429.96,0,False
2019-12-25,0.2024,,,29.26,0.3398,0.0,8951486.41,0,False
2019-12-28,0.2031,,,27.01,0.3401,0.0,9130542.87,0,False
2019-12-31,0.2038,,,24.76,0.3405,0.0,9309599.32,0,False
2020-01-03,0.2046,,,22.51,0.3408,0.0,9488655.78,0,False
2020-01-06,0.2053,,,20.26,0.3412,0.0,9667712.24,0,False
2020-01-09,0.206,,,18.01,0.3415,0.0,9846768.69,0,False
2020-01-12,0.2068,,,15.75,0.3419,0.0,10025825.15,0,False
2020-01-15,0.2075,,,13.5,0.3422,0.0,10204881.6,0,False
2020-01-18,0.2082,,,11.25,0.3426,0.0,10383938.06,0,False
2020-01-21,0.209,,,9.0,0.3429,0.0,10562994.52,0,False
2020-01-24,0.2097,,,6.75,0.3433,0.0,10742050.97,0,False
2020-01-27,0.2104,,,4.5,0.3436,0.0,10921107.43,0,False
2020-01-30,0.2112,,,2.25,0.344,0.0,11100163.88,0,False
2020-02-02,0.2119,,10.97,0.0,0.3443,-0.0,11279220.34,0,True
2020-02-05,0.2142,,11.43,1.23,0.3439,0.0,11509668.53,0,False
2020-02-08,0.2164,,11.89,2.46,0.3435,0.0,11740116.73,0,False
2020-02-11,0.2187,,12.35,3.69,0.3431,0.0,11970564.92,0,False
2020-02-14,0.2209,,12.81,4.92,0.3428,0.0,12201013.12,0,False
2020-02-17,0.2232,,13.27,6.15,0.3424,0.0,12431461.31,0,False
2020-02-20,0.2254,,13.73,7.38,0.342,0.0,12661909.51,0,False
2020-02-23,0.2277,,14.19,8.61,0.3416,0.0,12892357.7,0,False
2020-02-26,0.23,,14.66,9.84,0.3412,0.0,13122805.9,0,False
2020-02-29,0.2322,,15.12,11.07,0.3408,0.0,13353254.09,0,False
2020-03-03,0.2345,,15.58,12.3,0.3404,0.0,13583702.28,0,False
2020-03-06,0.2367,,16.04,13.53,0.34,0.0,13814150.48,0,False
2020-03-09,0.239,,16.5,14.76,0.3396,0.0,14044598.67,0,False
2020-03-12,0.2412,,16.96,15.99,0.3393,0.0,14275046.87,0,False
2020-03-15,0.2435,,17.42,17.22,0.3389,0.0,14505495.06,0,False
2020-03-18,0.2457,,17.88,18.45,0.3385,0.0,14735943.26,0,False
2020-03-21,0.248,,18.34,19.68,0.3381,-0.0,14966391.45,0,True
2020-03-24,0.2473,,18.8,20.69,0.3325,0.0,15295493.08,0,False
2020-03-27,0.2466,,19.26,21.69,0.3269,0.0,15624594.72,0,False
2020-03-30,0.2459,,19.72,22.7,0.3213,0.0,15953696.35,0,False
2020-04-02,0.2452,,20.18,23.71,0.3158,0.0,16282797.99,0,False
2020-04-05,0.2445,,20.64,24.71,0.3102,0.0,16611899.62,0,False
2020-04-08,0.2438,,21.1,25.72,0.3046,0.0,16941001.26,0,False
2020-04-11,0.2431,,21.56,26.73,0.299,0.0,17270102.9,0,False
2020-04-14,0.2424,,22.02,27.74,0.2934,0.0,17599204.53,0,False
2020-04-17,0.2417,,22.49,28.74,0.2878,0.0,17928306.16,0,False
2020-04-20,0.241,,22.95,29.75,0.2822,0.0,18257407.8,0,False
2020-04-23,0.2403,,23.41,30.76,0.2766,0.0,18586509.43,0,False
2020-04-26,0.2396,,23.87,31.76,0.271,0.0,18915611.07,0,False
2020-04-29,0.2389,,24.33,32.77,0.2655,0.0,19244712.7,0,False
2020-05-02,0.2382,,24.79,33.78,0.2599,0.0,19573814.34,0,False
2020-05-05,0.2375,,25.25,34.78,0.2543,0.0,19902915.98,0,False
2020-05-08,0.2368,35.23,25.71,35.79,0.2487,-0.0,20232017.61,0,True
2020-05-11,0.233,35.15,25.84,35.25,0.2456,0.0,19956911.83,0,False
2020-05-14,0.2292,35.07,25.98,34.7,0.2426,0.0,19681806.04,0,False
2020-05-17,0.2254,35.0,26.11,34.16,0.2395,0.0,19406700.26,0,False
2020-05-20,0.2216,34.92,26.24,33.62,0.2364,0.0,19131594.48,0,False
2020-05-23,0.2178,34.84,26.37,33.08,0.2334,0.0,18856488.69,0,False
2020-05-26,0.214,34.76,26.5,32.53,0.2303,0.0,18581382.91,0,False
2020-05-29,0.2102,34.69,26.64,31.99,0.2272,0.0,18306277.12,0,False
2020-06-01,0.2064,34.61,26.77,31.45,0.2242,0.0,18031171.34,0,False
2020-06-04,0.2027,34.53,26.9,30.91,0.2211,0.0,17756065.56,0,False
2020-06-07,0.1989,34.45,27.04,30.36,0.218,0.0,17480959.77,0,False
2020-06-10,0.1951,34.38,27.17,29.82,0.2149,0.0,17205853.99,0,False
2020-06-13,0.1913,34.3,27.3,29.28,0.2119,0.0,16930748.2,0,False
2020-06-16,0.1875,34.22,27.43,28.74,0.2088,0.0,16655642.42,0,False
2020-06-19,0.1837,34.14,27.56,28.2,0.2057,0.0,16380536.64,0,False
2020-06-22,0.1799,34.06,27.7,27.65,0.2027,0.0,16105430.85,0,False
2020-06-25,0.1761,33.99,27.83,27.11,0.1996,-0.0,15830325.07,0,True
2020-06-28,0.1843,33.91,27.79,33.06,0.2109,0.0,15518057.18,0,False
2020-07-01,0.1925,33.83,27.75,39.02,0.2223,0.0,15205789.29,0,False
2020-07-04,0.2007,33.75,27.71,44.97,0.2336,0.0,14893521.39,0,False
2020-07-07,0.2089,33.68,27.67,50.92,0.245,0.0,14581253.5,0,False
2020-07-10,0.2171,33.6,27.63,56.87,0.2563,0.0,14268985.61,0,False
2020-07-13,0.2253,33.52,27.59,62.82,0.2677,0.0,13956717.72,0,False
2020-07-16,0.2335,33.44,27.55,68.78,0.279,0.0,13644449.83,0,False
2020-07-19,0.2417,33.36,27.52,74.73,0.2904,0.0,13332181.94,0,False
2020-07-22,0.2499,33.29,27.48,80.68,0.3017,0.0,13019914.04,0,False
2020-07-25,0.2581,33.21,27.44,86.64,0.313,0.0,12707646.15,0,False
2020-07-28,0.2663,33.13,27.4,92.59,0.3244,0.0,12395378.26,0,False
2020-07-31,0.2745,33.05,27.36,98.54,0.3357,0.0,12083110.37,0,False
2020-08-03,0.2827,32.98,27.32,104.49,0.3471,0.0,11770842.48,0,False
2020-08-06,0.2909,32.9,27.28,110.44,0.3584,0.0,11458574.58,0,False
2020-08-09,0.2991,32.82,27.24,116.4,0.3698,0.0,11146306.69,0,False
2020-08-12,0.3073,32.74,27.2,122.35,0.3811,-0.0,10834038.8,0,True
2020-08-15,0.3054,32.67,27.24,114.7,0.3667,0.0,11105498.65,0,False
2020-08-18,0.3035,32.59,27.28,107.06,0.3523,0.0,11376958.5,0,False
2020-08-21,0.3016,32.51,27.31,99.41,0.3379,0.0,11648418.36,0,False
2020-08-24,0.2997,32.43,27.35,91.76,0.3235,0.0,11919878.21,0,False
