fecha,NDVI,LST_Day_C,LST_Night_C,Precipitacion_mm_16dias,Humedad_suelo_m3m3,Evapotranspiracion_m,Radiacion_solar_Jm2,Dias_helada
2019-12-03,0.2537,21.74,13.49,12.58,0.2943,-0.0,10049940.41,0
2019-12-19,0.2009,,,33.76,0.3391,-0.0,8593373.5,0
2020-01-01,0.2816,,6.79,40.08,0.2908,-0.0,7729278.72,0
2020-01-17,0.2375,,6.07,0.0,0.3697,-0.0,8757337.39,0
2020-02-02,0.2119,,10.97,0.0,0.3443,-0.0,11279220.34,0
2020-02-18,0.2323,24.4,15.41,9.34,0.2332,-0.0,13286940.88,0
2020-03-05,0.2524,24.85,,38.72,0.3253,-0.0,11535771.75,0
2020-03-21,0.248,,,19.68,0.3381,-0.0,14966391.45,0
2020-04-06,0.2301,31.5,22.18,6.55,0.2655,-0.0,16965463.18,0
2020-04-22,0.2392,31.42,23.1,15.96,0.2299,-0.0,19118054.45,0
2020-05-08,0.2368,35.23,25.71,35.79,0.2487,-0.0,20232017.61,0
2020-05-24,0.2262,,28.68,11.63,0.1449,-0.0,19787766.32,0
2020-06-09,0.2186,34.63,29.25,13.73,0.2418,-0.0,18792904.14,0
2020-06-25,0.1761,,27.83,27.11,0.1996,-0.0,15830325.07,0
2020-07-11,0.2352,,,157.4,0.262,-0.0,15707402.24,0
2020-07-27,0.3881,,28.42,86.09,0.3163,-0.0,14757854.42,0
2020-08-12,0.3073,,27.2,122.35,0.3811,-0.0,10834038.8,0
2020-08-28,0.2918,,,96.42,0.3915,-0.0,12386515.22,0
2020-09-13,0.2962,32.12,27.09,25.09,0.2537,-0.0,15547187.84,0
2020-09-29,0.2768,31.5,27.8,0.0,0.1507,-0.0,15177396.44,0
2020-10-15,0.2423,32.2,24.5,0.0,0.1378,-0.0,13969152.92,0
2020-10-31,0.2177,28.8,19.96,1.78,0.1374,-0.0,12630676.47,0
2020-11-16,0.2828,,,20.94,0.3273,-0.0,7587573.87,0
