fecha,NDVI,LST_Day_C,LST_Night_C,Precipitacion_mm_16dias,Humedad_suelo_m3m3,Evapotranspiracion_m,Radiacion_solar_Jm2,Dias_helada,dato_original
2017-07-01,,,,,,,,0,False
2017-07-04,,,,,,,,0,False
2017-07-07,,,,,,,,0,False
2017-07-10,,,,,,,,0,False
2017-07-13,,,,,,,,0,False
2017-07-16,,,,,,,,0,False
2017-07-19,,,,,,,,0,False
2017-07-22,,,,,,,,0,False
2017-07-25,,,,,,,,0,False
2017-07-28,0.8414,24.58,,,0.256,0.0,10327380.82,0,True
2017-07-31,0.8079,23.7,,,0.2612,0.0,10060408.49,0,False
2017-08-03,0.7743,22.81,,,0.2664,0.0,9793436.15,0,False
2017-08-06,0.7408,21.93,,,0.2716,0.0,9526463.82,0,False
2017-08-09,0.7072,21.05,,,0.2768,0.0,9259491.48,0,False
2017-08-12,0.6737,20.16,,,0.2821,0.0,8992519.15,0,False
2017-08-15,0.6401,19.28,,,0.2873,0.0,8725546.81,0,False
2017-08-18,0.6066,18.4,,,0.2925,0.0,8458574.48,0,False
2017-08-21,0.573,17.51,,,0.2977,0.0,8191602.14,0,False
2017-08-24,0.5394,16.63,,,0.3029,0.0,7924629.81,0,False
2017-08-27,0.5059,15.75,,,0.3081,0.0,7657657.48,0,False
2017-08-30,0.4724,14.86,,,0.3133,0.0,7390685.14,0,False
2017-09-02,0.4388,13.98,,,0.3186,0.0,7123712.81,0,False
2017-09-05,0.4052,13.09,,,0.3238,0.0,6856740.47,0,False
2017-09-08,0.3717,12.21,,,0.329,0.0,6589768.14,0,False
2017-09-11,0.3381,11.33,,,0.3342,0.0,6322795.8,0,False
2017-09-14,0.3046,10.44,2.58,,0.3394,0.0,6055823.47,0,True
2017-09-17,0.2888,9.56,1.79,,0.3368,0.0,5791657.33,0,False
2017-09-20,0.2729,8.68,1.0,,0.3342,0.0,5527491.2,0,False
2017-09-23,0.2571,7.79,0.2,,0.3316,0.0,5263325.06,0,False
2017-09-26,0.2412,6.91,-0.59,,0.329,0.0,4999158.93,0,False
2017-09-29,0.2254,6.03,-1.38,,0.3264,0.0,4734992.79,0,False
2017-10-02,0.2096,5.14,-2.17,,0.3238,0.0,4470826.66,0,False
2017-10-05,0.1937,4.26,-2.97,,0.3212,0.0,4206660.52,0,False
2017-10-08,0.1779,3.38,-3.76,,0.3186,0.0,3942494.38,0,False
2017-10-11,0.1621,2.49,-4.55,,0.3159,0.0,3678328.25,0,False
2017-10-14,0.1462,1.61,-5.34,,0.3133,0.0,3414162.11,0,False
2017-10-17,0.1304,0.73,-6.14,,0.3107,0.0,3149995.98,0,False
2017-10-20,0.1146,-0.16,-6.93,,0.3081,0.0,2885829.84,0,False
2017-10-23,0.0987,-1.04,-7.72,,0.3055,0.0,2621663.71,0,False
2017-10-26,0.0829,-1.92,-8.51,,0.3029,0.0,2357497.57,0,False
2017-10-29,0.067,-2.81,-9.31,,0.3003,0.0,2093331.44,0,False
2017-11-01,0.0512,-3.69,-10.1,,0.2977,0.0,1829165.3,0,True
2017-11-04,0.0456,-4.58,-10.89,,0.2977,0.0,1731895.55,0,False
2017-11-07,0.04,-5.46,-11.68,,0.2977,0.0,1634625.79,0,False
