fecha,NDVI,LST_Day_C,LST_Night_C,Precipitacion_mm_16dias,Humedad_suelo_m3m3,Evapotranspiracion_m,Radiacion_solar_Jm2,Dias_helada
2017-07-12,0.8497,21.35,11.79,,0.2909,0.0,14352138.05,0
2017-07-28,0.8414,24.58,,,0.256,0.0,10327380.82,0
2017-08-13,0.8021,,15.81,,0.1723,0.0,14314758.86,0
2017-08-29,0.4116,,,,0.2293,0.0,5488550.35,0
2017-09-14,0.3046,,2.58,,0.3394,0.0,6055823.47,0
2017-09-30,0.3543,,,,0.3086,0.0,4981312.43,0
2017-10-16,0.419,-9.8,-22.05,,0.3015,0.0,3391702.66,1
2017-11-01,0.0512,,,,0.2977,0.0,1829165.3,0
2017-11-17,0.0031,-29.09,,,0.2946,0.0,1563850.35,0
2017-12-03,-0.0414,-28.79,,,0.2954,0.0,591631.47,0
2017-12-19,-0.0388,,,,0.2973,0.0,272849.24,0
2018-01-01,-0.0191,-30.88,-36.07,,0.2978,0.0,445176.6,1
2018-01-17,-0.0108,-43.46,-47.07,,0.2979,0.0,1063781.9,1
2018-02-02,0.0363,-31.08,-34.66,,0.2997,0.0,1941547.31,1
2018-02-18,0.0441,-28.19,-31.67,,0.3007,0.0,3944750.67,1
2018-03-06,0.0713,-20.94,-33.52,,0.3002,0.0,6771330.63,1
2018-03-22,0.2128,-6.15,,,0.3011,0.0,8134040.73,0
2018-04-07,0.0763,-14.23,-10.72,,0.2992,0.0,9552889.89,1
2018-04-23,0.363,,0.92,,0.4203,0.0,14386866.1,0
2018-05-09,0.4865,2.0,,,0.4143,0.0,11299648.47,0
2018-05-25,0.5938,7.25,,,0.4125,0.0,13532453.86,0
2018-06-10,0.8446,21.92,,,0.3317,0.0,17692027.0,0
2018-06-26,0.875,29.55,19.3,,0.2369,0.0,17981884.36,0
