fecha,NDVI,LST_Day_C,LST_Night_C,Precipitacion_mm_16dias,Humedad_suelo_m3m3,Evapotranspiracion_m,Radiacion_solar_Jm2,Dias_helada,dato_original
2019-03-01,,,,,,,,0,False
2019-03-04,,,,,,,,0,False
2019-03-07,,,,,,,,0,False
2019-03-10,,,,,,,,0,False
2019-03-13,,,,,,,,0,False
2019-03-16,,,,,,,,0,False
2019-03-19,,,,,,,,0,False
2019-03-22,0.3703,,18.15,26.69,0.1002,-1.7e-05,12274475.58,0,True
2019-03-25,0.3726,,17.52,26.12,0.1121,-1.8e-05,11900346.62,0,False
2019-03-28,0.375,,16.9,25.56,0.124,-2e-05,11526217.67,0,False
2019-03-31,0.3773,,16.27,24.99,0.136,-2.1e-05,11152088.71,0,False
2019-04-03,0.3796,,15.64,24.42,0.1479,-2.2e-05,10777959.76,0,False
2019-04-06,0.382,,15.01,23.86,0.1598,-2.4e-05,10403830.8,0,False
2019-04-09,0.3843,,14.38,23.29,0.1717,-2.5e-05,10029701.84,0,False
2019-04-12,0.3866,,13.76,22.73,0.1837,-2.6e-05,9655572.89,0,False
2019-04-15,0.389,,13.13,22.16,0.1956,-2.8e-05,9281443.93,0,False
2019-04-18,0.3913,,12.5,21.59,0.2075,-2.9e-05,8907314.97,0,False
2019-04-21,0.3936,,11.88,21.03,0.2194,-3e-05,8533186.02,0,False
2019-04-24,0.3959,,11.25,20.46,0.2314,-3.1e-05,8159057.06,0,False
2019-04-27,0.3983,,10.62,19.9,0.2433,-3.3e-05,7784928.1,0,False
2019-04-30,0.4006,,9.99,19.33,0.2552,-3.4e-05,7410799.15,0,False
2019-05-03,0.4029,,9.36,18.76,0.2672,-3.5e-05,7036670.19,0,False
2019-05-06,0.4053,,8.74,18.2,0.2791,-3.7e-05,6662541.24,0,False
2019-05-09,0.4076,,8.11,17.63,0.291,-3.8e-05,6288412.28,0,True
2019-05-12,0.412,,7.96,17.08,0.2896,-3.6e-05,6351438.65,0,False
2019-05-15,0.4164,,7.82,16.52,0.2882,-3.4e-05,6414465.01,0,False
2019-05-18,0.4208,,7.68,15.97,0.2868,-3.3e-05,6477491.38,0,False
2019-05-21,0.4252,,7.53,15.42,0.2854,-3.1e-05,6540517.74,0,False
2019-05-24,0.4296,,7.38,14.86,0.284,-2.9e-05,6603544.11,0,False
2019-05-27,0.434,,7.24,14.31,0.2826,-2.7e-05,6666570.47,0,False
2019-05-30,0.4384,,7.1,13.75,0.2812,-2.5e-05,6729596.84,0,False
2019-06-02,0.4428,,6.95,13.2,0.2798,-2.4e-05,6792623.2,0,False
2019-06-05,0.4471,,6.8,12.65,0.2783,-2.2e-05,6855649.57,0,False
2019-06-08,0.4515,,6.66,12.09,0.2769,-2e-05,6918675.94,0,False
2019-06-11,0.4559,,6.52,11.54,0.2755,-1.8e-05,6981702.3,0,False
2019-06-14,0.4603,,6.37,10.98,0.2741,-1.6e-05,7044728.67,0,False
2019-06-17,0.4647,,6.22,10.43,0.2727,-1.4e-05,7107755.03,0,False
2019-06-20,0.4691,,6.08,9.88,0.2713,-1.3e-05,7170781.4,0,False
2019-06-23,0.4735,,5.94,9.32,0.2699,-1.1e-05,7233807.76,0,False
2019-06-26,0.4779,9.72,5.79,8.77,0.2685,-9e-06,7296834.13,0,True
2019-06-29,0.4746,10.01,5.37,10.94,0.2709,-9e-06,7131360.14,0,False
2019-07-02,0.4712,10.29,4.96,13.11,0.2733,-9e-06,6965886.16,0,False
2019-07-05,0.4678,10.58,4.54,15.28,0.2757,-9e-06,6800412.17,0,False
2019-07-08,0.4645,10.86,4.12,17.45,0.2781,-8e-06,6634938.18,0,False
2019-07-11,0.4612,11.15,3.71,19.63,0.2805,-8e-06,6469464.2,0,False
2019-07-14,0.4578,11.43,3.29,21.8,0.2829,-8e-06,6303990.21,0,False
