fecha,NDVI,LST_Day_C,LST_Night_C,Precipitacion_mm_16dias,Humedad_suelo_m3m3,Evapotranspiracion_m,Radiacion_solar_Jm2,Dias_helada
2019-03-06,0.3267,,,15.2,0.124,-9.9e-05,11963391.44,0
2019-03-22,0.3703,,18.15,26.69,0.1002,-1.7e-05,12274475.58,0
2019-04-07,0.3568,23.37,12.68,9.43,0.1289,-3.6e-05,11403633.98,0
2019-04-23,0.3671,,10.88,52.53,0.1391,-2.3e-05,6559706.53,0
2019-05-09,0.4076,,8.11,17.63,0.291,-3.8e-05,6288412.28,0
2019-05-25,0.4177,14.14,,54.02,0.2441,-2.2e-05,5284452.17,0
2019-06-10,0.434,,,52.0,0.2713,-6e-06,5905453.15,0
2019-06-26,0.4779,9.72,5.79,8.77,0.2685,-9e-06,7296834.13,0
2019-07-12,0.4186,,,23.89,0.2948,-2.4e-05,3413365.09,0
2019-07-28,0.4183,,6.54,14.71,0.2864,-6e-06,5792498.57,0
2019-08-13,0.4243,,-0.87,43.51,0.307,-7e-06,4649250.34,1
2019-08-29,0.3846,11.62,5.2,48.1,0.2926,-1.9e-05,8301303.09,0
2019-09-14,0.4137,19.19,10.78,48.95,0.2692,-7e-06,12135826.07,0
2019-09-30,0.3918,,,10.97,0.2478,-2.7e-05,9537325.17,0
2019-10-16,0.3766,23.0,,20.96,0.254,-2.6e-05,11859117.91,0
2019-11-01,0.3167,,19.61,42.75,0.1503,-4.3e-05,15669645.62,0
2019-11-17,0.3741,,,15.03,0.2034,-3.4e-05,15651554.75,0
2019-12-03,0.3414,,,13.03,0.2343,-7.3e-05,11983257.77,0
2019-12-19,0.3225,,,13.58,0.0955,-3.7e-05,22170021.37,0
2020-01-01,0.3835,,13.91,25.91,0.0982,-7.1e-05,21967813.31,0
2020-01-17,0.3468,,11.89,99.35,0.2121,-7.1e-05,14665825.58,0
2020-02-02,0.3836,,,25.49,0.2703,-8.2e-05,11228903.95,0
2020-02-18,0.4114,32.24,15.08,45.82,0.3006,-5.1e-05,11997188.51,0
