fecha,NDVI,LST_Day_C,LST_Night_C,Precipitacion_mm_16dias,Humedad_suelo_m3m3,Evapotranspiracion_m,Radiacion_solar_Jm2,Dias_helada
2016-12-02,0.387,31.32,,0.5,0.2769,-2e-05,11859522.39,0
2016-12-18,0.3075,27.59,14.52,0.27,0.2484,-1.4e-05,9391610.29,0
2017-01-01,0.3339,28.36,14.69,0.27,0.2419,-1.9e-05,11180641.89,0
2017-01-17,0.2687,26.21,10.24,0.0,0.2374,-2.3e-05,13140653.37,0
2017-02-02,0.2594,30.21,15.13,3.24,0.2381,-3e-05,13927656.22,0
2017-02-18,0.3418,33.21,17.19,3.61,0.2363,-2.2e-05,14842517.65,0
2017-03-06,0.397,27.42,,86.16,0.2796,-2.2e-05,13269330.37,0
2017-03-22,0.3793,27.25,18.15,54.45,0.3479,-1.9e-05,16085690.22,0
2017-04-07,0.4095,,,42.96,0.4433,-2.9e-05,13168692.26,0
2017-04-23,0.3827,,,286.05,0.4705,-3.2e-05,5898456.41,0
2017-05-09,0.3665,35.81,22.24,213.95,0.4558,-5e-05,13096982.9,0
2017-05-25,0.2657,,25.14,206.7,0.4366,-5.1e-05,15790547.0,0
2017-06-10,0.2675,,,278.82,0.4661,-5.7e-05,14295792.88,0
2017-06-26,0.2425,,,260.02,0.438,-3.5e-05,14748682.58,0
2017-07-12,0.4284,,,275.65,0.4785,-3.5e-05,4983389.08,0
2017-07-28,0.2655,,,350.33,0.4482,-3.3e-05,12352352.24,0
2017-08-13,0.3367,,,284.54,0.4853,-3.5e-05,6003887.11,0
2017-08-29,0.3856,,,242.81,0.4696,-3.7e-05,12184402.9,0
2017-09-14,0.3893,,,248.14,0.46,-2.5e-05,11801656.79,0
2017-09-30,0.474,,,250.2,0.4617,-2.5e-05,5896901.19,0
2017-10-16,0.4692,30.57,25.22,344.12,0.4365,-4.2e-05,13762689.13,0
2017-11-01,0.4599,29.36,21.06,0.0,0.3607,-2.9e-05,13883855.2,0
2017-11-17,0.3959,,,18.15,0.3348,-1.6e-05,6124912.61,0
