ID,Latitude,Longitude,Date,MODIS_Tile,MOD11A2_061_Line_Y_1km,MOD11A2_061_Sample_X_1km,MOD11A2_061_Clear_sky_days
P1,-13.309102,-72.115925,2025-07-20,h10v10,397.0,1178.0,158.0
P1,-13.309102,-72.115925,2025-07-28,h10v10,397.0,1178.0,113.0
P1,-13.309102,-72.115925,2025-08-05,h10v10,397.0,1178.0,206.0
P1,-13.309102,-72.115925,2025-08-13,h10v10,397.0,1178.0,221.0
P1,-13.309102,-72.115925,2025-08-21,h10v10,397.0,1178.0,67.0
P1,-13.309102,-72.115925,2025-08-29,h10v10,397.0,1178.0,223.0
P1,-13.309102,-72.115925,2025-09-06,h10v10,397.0,1178.0,124.0
P1,-13.309102,-72.115925,2025-09-14,h10v10,397.0,1178.0,97.0
P1,-13.309102,-72.115925,2025-09-22,h10v10,397.0,1178.0,37.0
P2,-13.309102,-72.114075,2025-07-20,h10v10,397.0,1178.0,158.0
P2,-13.309102,-72.114075,2025-07-28,h10v10,397.0,1178.0,113.0
P2,-13.309102,-72.114075,2025-08-05,h10v10,397.0,1178.0,206.0
P2,-13.309102,-72.114075,2025-08-13,h10v10,397.0,1178.0,221.0
P2,-13.309102,-72.114075,2025-08-21,h10v10,397.0,1178.0,67.0
P2,-13.309102,-72.114075,2025-08-29,h10v10,397.0,1178.0,223.0
P2,-13.309102,-72.114075,2025-09-06,h10v10,397.0,1178.0,124.0
P2,-13.309102,-72.114075,2025-09-14,h10v10,397.0,1178.0,97.0
P2,-13.309102,-72.114075,2025-09-22,h10v10,397.0,1178.0,37.0
P3,-13.310898,-72.114075,2025-07-20,h10v10,397.0,1178.0,158.0
P3,-13.310898,-72.114075,2025-07-28,h10v10,397.0,1178.0,113.0
P3,-13.310898,-72.114075,2025-08-05,h10v10,397.0,1178.0,206.0
P3,-13.310898,-72.114075,2025-08-13,h10v10,397.0,1178.0,221.0
P3,-13.310898,-72.114075,2025-08-21,h10v10,397.0,1178.0,67.0
P3,-13.310898,-72.114075,2025-08-29,h10v10,397.0,1178.0,223.0
P3,-13.310898,-72.114075,2025-09-06,h10v10,397.0,1178.0,124.0
P3,-13.310898,-72.114075,2025-09-14,h10v10,397.0,1178.0,97.0
P3,-13.310898,-72.114075,2025-09-22,h10v10,397.0,1178.0,37.0
P4,-13.310898,-72.115925,2025-07-20,h10v10,397.0,1178.0,158.0
P4,-13.310898,-72.115925,2025-07-28,h10v10,397.0,1178.0,113.0
P4,-13.310898,-72.115925,2025-08-05,h10v10,397.0,1178.0,206.0
P4,-13.310898,-72.115925,2025-08-13,h10v10,397.0,1178.0,221.0
P4,-13.310898,-72.115925,2025-08-21,h10v10,397.0,1178.0,67.0
P4,-13.310898,-72.115925,2025-08-29,h10v10,397.0,1178.0,223.0
P4,-13.310898,-72.115925,2025-09-06,h10v10,397.0,1178.0,124.0
P4,-13.310898,-72.115925,2025-09-14,h10v10,397.0,1178.0,97.0
P4,-13.310898,-72.115925,2025-09-22,h10v10,397.0,1178.0,37.0
P5,-13.31,-72.115,2025-07-20,h10v10,397.0,1178.0,158.0
P5,-13.31,-72.115,2025-07-28,h10v10,397.0,1178.0,113.0
P5,-13.31,-72.115,2025-08-05,h10v10,397.0,1178.0,206.0
P5,-13.31,-72.115,2025-08-13,h10v10,397.0,1178.0,221.0
P5,-13.31,-72.115,2025-08-21,h10v10,397.0,1178.0,67.0
P5,-13.31,-72.115,2025-08-29,h10v10,397.0,1178.0,223.0
P5,-13.31,-72.115,2025-09-06,h10v10,397.0,1178.0,124.0
P5,-13.31,-72.115,2025-09-14,h10v10,397.0,1178.0,97.0
P5,-13.31,-72.115,2025-09-22,h10v10,397.0,1178.0,37.0
